"participant_id","comments","stimulus_id","n","utterance","response"
"participant4","","S30-805-dep",2.02,"C",0
"participant4","","S30-805-dep",2.02,"A > C",0.0495049504950495
"participant4","","S30-805-dep",2.02,"C > A",0.495049504950495
"participant4","","S97-1674",3.32,"A",0.237951807228916
"participant4","","S97-1674",3.32,"C",0.213855421686747
"participant4","","S97-1674",3.32,"A > C",0.271084337349398
"participant4","","S97-1674",3.32,"C > A",0.27710843373494
"participant4","","S83-1609",2.33,"A",0.351931330472103
"participant4","","S83-1609",2.33,"C",0.32618025751073
"participant4","","S83-1609",2.33,"A > C",0.163090128755365
"participant4","","S83-1609",2.33,"C > A",0.158798283261803
"participant4","","S54-806",2.42,"A",0.0826446280991736
"participant4","","S54-806",2.42,"C",0.384297520661157
"participant4","","S54-806",2.42,"A > C",0.413223140495868
"participant4","","S54-806",2.42,"C > A",0.119834710743802
"participant4","","S10-203",2.27,"A",0.378854625550661
"participant4","","S10-203",2.27,"C",0.162995594713656
"participant4","","S10-203",2.27,"A > C",0.281938325991189
"participant4","","S10-203",2.27,"C > A",0.176211453744493
"participant4","","S93-1674",1.89,"A",0.227513227513228
"participant4","","S93-1674",1.89,"C",0.407407407407407
"participant4","","S93-1674",1.89,"A > C",0.0264550264550265
"participant4","","S93-1674",1.89,"C > A",0.338624338624339
"participant4","","S8-202",2.62,"A",0.33587786259542
"participant4","","S8-202",2.62,"C",0.137404580152672
"participant4","","S8-202",2.62,"A > C",0.255725190839695
"participant4","","S8-202",2.62,"C > A",0.270992366412214
"participant4","","S20-468",2.81,"A",0.355871886120996
"participant4","","S20-468",2.81,"C",0.206405693950178
"participant4","","S20-468",2.81,"A > C",0.217081850533808
"participant4","","S20-468",2.81,"C > A",0.220640569395018
"participant4","","S89-1642-dep",3.94,"A",0.251269035532995
"participant4","","S89-1642-dep",3.94,"C",0.251269035532995
"participant4","","S89-1642-dep",3.94,"A > C",0.251269035532995
"participant4","","S89-1642-dep",3.94,"C > A",0.246192893401015
"participant4","","S44-806",2.04,"A",0.475490196078431
"participant4","","S44-806",2.04,"C",0.0196078431372549
"participant4","","S44-806",2.04,"A > C",0.0147058823529412
"participant4","","S44-806",2.04,"C > A",0.490196078431373
"participant4","","S32-806",1.41,"A",0.425531914893617
"participant4","","S32-806",1.41,"C",0.163120567375887
"participant4","","S32-806",1.41,"A > C",0.226950354609929
"participant4","","S32-806",1.41,"C > A",0.184397163120567
"participant4","","S15-443",2.95,"A",0.338983050847458
"participant4","","S15-443",2.95,"C",0.196610169491525
"participant4","","S15-443",2.95,"A > C",0.264406779661017
"participant4","","S15-443",2.95,"C > A",0.2
"participant4","","S30-805",0.74,"A",0.351351351351351
"participant4","","S30-805",0.74,"C",0.310810810810811
"participant4","","S30-805",0.74,"A > C",0.135135135135135
"participant4","","S30-805",0.74,"C > A",0.202702702702703
"participant4","","S22-468",2.03,"A",0.492610837438424
"participant4","","S22-468",2.03,"C",0.344827586206897
"participant4","","S22-468",2.03,"A > C",0.0935960591133005
"participant4","","S22-468",2.03,"C > A",0.0689655172413793
"participant4","","S89-1642",1.76,"A",0.352272727272727
"participant4","","S89-1642",1.76,"C",0.414772727272727
"participant4","","S89-1642",1.76,"A > C",0.119318181818182
"participant4","","S89-1642",1.76,"C > A",0.113636363636364
"participant4","","S7-130-dep",4,"A",0.25
"participant4","","S7-130-dep",4,"C",0.25
"participant4","","S7-130-dep",4,"A > C",0.25
"participant4","","S7-130-dep",4,"C > A",0.25
"participant4","","S34-806",2.21,"A",0.153846153846154
"participant4","","S34-806",2.21,"C",0.14027149321267
"participant4","","S34-806",2.21,"A > C",0.262443438914027
"participant4","","S34-806",2.21,"C > A",0.443438914027149
"participant4","","S7-130",2.68,"A",0.347014925373134
"participant4","","S7-130",2.68,"C",0.350746268656716
"participant4","","S7-130",2.68,"A > C",0.156716417910448
"participant4","","S7-130",2.68,"C > A",0.145522388059701
"participant4","","S55-1006",1.3,"A",0.0846153846153846
"participant4","","S55-1006",1.3,"C",0.569230769230769
"participant4","","S55-1006",1.3,"A > C",0.161538461538462
"participant4","","S55-1006",1.3,"C > A",0.184615384615385
