"participant_id","stimulus_id","utterance","response"
"participant14","S93-1674","C",1
"participant14","S93-1674","C > A",1
"participant14","S97-1674","A",1
"participant14","S97-1674","A > C",1
"participant14","S97-1674","C",1
"participant14","S97-1674","C > A",1
"participant15","S1-121","A",0.74
"participant15","S1-121","A > C",0.74
"participant15","S1-121","C",0.68
"participant15","S1-121","C > A",0.69
"participant15","S10-203","A",0.76
"participant15","S10-203","A > C",0.66
"participant15","S10-203","C",0.76
"participant15","S10-203","C > A",0.73
"participant15","S12-203","A",0.75
"participant15","S12-203","A > C",0.94
"participant15","S12-203","C",0.66
"participant15","S12-203","C > A",0.72
"participant15","S15-443","A",0.73
"participant15","S15-443","A > C",0.88
"participant15","S15-443","C",0.81
"participant15","S15-443","C > A",0.86
"participant15","S20-468","A",0.7
"participant15","S20-468","A > C",0.36
"participant15","S20-468","C",0.73
"participant15","S20-468","C > A",0.33
"participant15","S22-468","A",0.89
"participant15","S22-468","A > C",0.85
"participant15","S22-468","C",0.76
"participant15","S22-468","C > A",0.86
"participant15","S30-805","A",0.81
"participant15","S30-805","A > C",0.8
"participant15","S30-805","C",0.84
"participant15","S30-805","C > A",0.81
"participant15","S30-805-dep","A",0.82
"participant15","S30-805-dep","A > C",0.79
"participant15","S30-805-dep","C",0.83
"participant15","S30-805-dep","C > A",0.78
"participant15","S32-806","A",1
"participant15","S32-806","A > C",0.92
"participant15","S32-806","C",0.93
"participant15","S32-806","C > A",0.89
"participant15","S34-806","A",0.86
"participant15","S34-806","A > C",0.92
"participant15","S34-806","C",0.84
"participant15","S34-806","C > A",0.86
"participant15","S42-806","A",0.72
"participant15","S42-806","A > C",0.73
"participant15","S42-806","C",0.62
"participant15","S42-806","C > A",0.65
"participant15","S44-806","A",0.89
"participant15","S44-806","A > C",0.78
"participant15","S44-806","C",0.85
"participant15","S44-806","C > A",0.8
"participant15","S54-806","A",0.72
"participant15","S54-806","A > C",0.26
"participant15","S54-806","C",0.78
"participant15","S54-806","C > A",0.2
"participant15","S55-1006","A",0.8
"participant15","S55-1006","A > C",0.84
"participant15","S55-1006","C",0.94
"participant15","S55-1006","C > A",0.8
"participant15","S57-1007","A",0.81
"participant15","S57-1007","A > C",0.9
"participant15","S57-1007","C",0.92
"participant15","S57-1007","C > A",0.76
"participant15","S59-1007","A",0.78
"participant15","S59-1007","A > C",0.82
"participant15","S59-1007","C",0.76
"participant15","S59-1007","C > A",0.76
"participant15","S63-1039","A",0.82
"participant15","S63-1039","A > C",0.41
"participant15","S63-1039","C",0.81
"participant15","S63-1039","C > A",0.31
"participant15","S7-130","A",0.94
"participant15","S7-130","A > C",0.68
"participant15","S7-130","C",0.95
"participant15","S7-130","C > A",0.63
"participant15","S7-130-dep","A",0.64
"participant15","S7-130-dep","A > C",0.37
"participant15","S7-130-dep","C",0.73
"participant15","S7-130-dep","C > A",0.36
"participant15","S8-202","A",0.77
"participant15","S8-202","A > C",0.76
"participant15","S8-202","C",0.81
"participant15","S8-202","C > A",0.81
"participant15","S83-1609","A",0.72
"participant15","S83-1609","A > C",0.31
"participant15","S83-1609","C",0.74
"participant15","S83-1609","C > A",0.31
"participant15","S89-1642","A",0.64
"participant15","S89-1642","A > C",0.41
"participant15","S89-1642","C",0.72
"participant15","S89-1642","C > A",0.34
"participant15","S89-1642-dep","A",0.81
"participant15","S89-1642-dep","A > C",0.87
"participant15","S89-1642-dep","C",0.78
"participant15","S89-1642-dep","C > A",0.79
"participant15","S93-1674","A",0.81
"participant15","S93-1674","A > C",0.27
"participant15","S93-1674","C",0.81
"participant15","S93-1674","C > A",0.06
"participant15","S97-1674","A",0.99
"participant15","S97-1674","A > C",0.95
"participant15","S97-1674","C",0.98
"participant15","S97-1674","C > A",0.95
"participant16","S1-121","A",0.7
"participant16","S1-121","A > C",0.32
"participant16","S1-121","C",0.71
"participant16","S1-121","C > A",0.22
"participant16","S10-203","A",0.2
"participant16","S10-203","A > C",0.72
"participant16","S10-203","C",0.64
"participant16","S10-203","C > A",0.07
"participant16","S12-203","A",0.81
"participant16","S12-203","A > C",0.19
"participant16","S12-203","C",0.81
"participant16","S12-203","C > A",0.04
"participant16","S15-443","A",0.33
"participant16","S15-443","A > C",0.32
"participant16","S15-443","C",0.32
"participant16","S15-443","C > A",0.22
"participant16","S20-468","A",1
"participant16","S20-468","A > C",0.15
"participant16","S20-468","C",0.74
"participant16","S20-468","C > A",0.32
"participant16","S22-468","A",0.27
"participant16","S22-468","A > C",0.15
"participant16","S22-468","C",0.63
"participant16","S22-468","C > A",0.22
"participant16","S30-805","A",0.81
"participant16","S30-805","A > C",0
"participant16","S30-805","C",0.86
"participant16","S30-805","C > A",0.08
"participant16","S30-805-dep","A",0.71
"participant16","S30-805-dep","A > C",0.28
"participant16","S30-805-dep","C",0.08
"participant16","S30-805-dep","C > A",0.23
"participant16","S32-806","A",0.72
"participant16","S32-806","A > C",0.17
"participant16","S32-806","C",0.7
"participant16","S32-806","C > A",0.12
"participant16","S34-806","A",0.17
"participant16","S34-806","A > C",0
"participant16","S34-806","C",0.87
"participant16","S34-806","C > A",0.97
"participant16","S42-806","A",0
"participant16","S42-806","A > C",0.85
"participant16","S42-806","C",0.06
"participant16","S42-806","C > A",0.14
"participant16","S44-806","A",0.81
"participant16","S44-806","A > C",1
"participant16","S44-806","C",0.32
"participant16","S44-806","C > A",0.99
"participant16","S54-806","A",0.82
"participant16","S54-806","A > C",0.83
"participant16","S54-806","C",0.68
"participant16","S54-806","C > A",1
"participant16","S55-1006","A",0.34
"participant16","S55-1006","A > C",0.3
"participant16","S55-1006","C",0.71
"participant16","S55-1006","C > A",0.75
"participant16","S57-1007","A",0.7
"participant16","S57-1007","A > C",0
"participant16","S57-1007","C",0.79
"participant16","S57-1007","C > A",0
"participant16","S59-1007","A",0.4
"participant16","S59-1007","A > C",1
"participant16","S59-1007","C",0.82
"participant16","S59-1007","C > A",0.98
"participant16","S63-1039","A",0.96
